Date,Open,High,Low,Close,Adj Close,Volume
1997-01-14,17.329329,18.219004,17.143656,17.878607,12.214679,99288326
1997-01-15,18.180323,19.131887,18.068146,19.131887,13.070920,169563456
1997-01-16,20.474136,20.474136,18.373730,18.656103,12.745865,196689447
1997-01-17,18.025595,19.108679,18.025595,18.849512,12.878004,168255985
1997-01-20,18.876589,18.915272,18.048803,18.176453,12.418164,99347786
1997-01-21,18.064278,18.335049,17.646517,17.820583,12.175036,104877556
1997-01-22,18.335049,19.069998,18.335049,19.039051,13.007493,134919020
1997-01-23,19.039051,19.039051,19.039051,19.039051,13.007493,0
1997-01-24,19.495495,20.203365,19.495495,20.044771,13.694600,240126837
1997-01-27,20.501213,21.274843,20.385168,20.756512,14.180861,238437401
1997-01-28,21.178141,21.363811,20.706226,21.294186,14.548202,154616402
1997-01-29,22.280563,22.280563,20.756512,21.216822,14.495349,232378309
1997-01-30,20.810665,21.545614,20.771984,21.193613,14.479493,273537480
1997-01-31,20.775852,21.120117,20.423851,20.717831,14.154438,236429337
1997-02-03,20.075718,20.481873,19.340769,19.576725,13.374831,178159935
1997-02-04,19.541912,20.725567,19.464548,20.408379,13.943019,224932896
1997-02-05,21.004074,21.189745,20.214970,20.350355,13.903375,169652646
1997-02-06,20.350355,20.911238,20.079584,20.679150,14.128012,205554141
1997-02-07,20.771984,21.309658,20.578577,21.170404,14.463635,209563806
1997-02-10,21.178141,21.236162,20.725567,21.093040,14.410780,149062073
1997-02-11,20.961523,21.425701,20.888029,21.267109,14.529709,117128879
1997-02-12,21.274843,21.526274,21.011810,21.185877,14.474206,116194324
1997-02-13,21.062096,21.270975,20.934446,21.108515,14.421352,93437989
1997-02-14,21.042755,21.274843,21.023415,21.197481,14.482136,66634504
1997-02-17,21.468252,21.661659,21.158800,21.286449,14.542920,107895792
1997-02-18,21.313526,21.313526,20.597918,20.752644,14.178225,115733510
1997-02-19,20.895765,21.166536,20.613390,21.108515,14.421352,134011611
1997-02-20,21.042755,21.158800,20.783588,20.899633,14.278644,96606168
1997-02-21,20.733303,20.837744,20.532160,20.601786,14.075155,92476290
1997-02-24,20.447060,20.462532,19.731451,19.828156,13.546609,110468078
1997-02-25,19.727583,20.799063,19.576725,20.230442,13.821453,236874640
1997-02-26,20.106663,20.539894,19.990618,20.412247,13.945662,118826717
1997-02-27,20.508949,20.946051,20.493477,20.864820,14.254861,128925205
1997-02-28,22.531994,23.131557,22.125837,22.725403,15.526012,76201084
1997-03-03,23.758200,24.253323,23.479692,23.611210,16.131197,154672631
1997-03-04,23.711781,23.978683,23.398460,23.820089,16.273901,135154921
1997-03-05,24.601458,24.752316,23.069668,23.514505,16.065128,289382249
1997-03-06,23.139296,23.441011,22.938150,23.263075,15.893353,192706927
1997-03-07,23.263075,23.263075,23.263075,23.263075,15.893353,0
1997-03-10,22.775688,22.775688,22.017530,22.141312,15.126963,177189187
1997-03-11,21.971111,22.203201,20.733303,20.961523,14.320930,261983518
1997-03-12,21.731287,21.959509,21.243898,21.564957,14.733193,201395180
1997-03-13,21.773836,21.804783,21.151064,21.282581,14.540276,128335130
1997-03-14,21.042755,22.048475,20.949921,21.711946,14.833618,313375609
1997-03-17,21.812517,22.125837,21.553352,22.013662,15.039749,219187261
1997-03-18,22.009794,22.659643,21.940166,22.303774,15.237956,213835224
1997-03-19,22.740875,22.841448,21.739023,21.843464,14.923470,163907657
1997-03-20,21.700340,22.276695,21.448912,21.990454,15.023897,198537228
1997-03-21,22.280563,22.504917,22.145180,22.323114,15.251171,137281258
1997-03-24,22.323114,22.323114,22.323114,22.323114,15.251171,0
1997-03-25,22.493313,22.590017,22.129705,22.323114,15.251171,147047546
1997-03-26,22.570677,22.891733,22.477840,22.566809,15.417660,192649406
1997-03-27,22.473972,22.644171,22.319246,22.559071,15.412371,103143524
1997-03-28,22.559071,22.559071,22.559071,22.559071,15.412371,0
1997-03-31,20.980865,20.980865,20.303938,20.331015,13.890163,1682973
1997-04-01,18.748940,20.574709,18.567137,20.199497,13.800309,221157193
1997-04-02,20.880293,21.031151,20.288465,20.539894,14.032872,170677683
1997-04-03,20.574709,20.868689,20.361959,20.725567,14.159723,134512496
1997-04-04,20.416115,20.713963,20.272993,20.636599,14.098940,90238789
1997-04-07,20.559237,20.574709,20.292334,20.427719,13.956230,81928622
1997-04-08,20.427719,20.427719,20.427719,20.427719,13.956230,0
1997-04-09,21.035019,21.286449,20.899633,21.216822,14.495349,162871633
1997-04-10,20.926710,21.023415,19.824287,20.586313,14.064584,158776656
1997-04-11,19.882309,20.961523,19.847496,20.717831,14.154438,130626921
1997-04-14,20.717831,20.717831,20.717831,20.717831,14.154438,0
1997-04-15,20.713963,20.841612,20.392904,20.543762,14.035511,87594762
1997-04-16,20.543762,20.543762,20.543762,20.543762,14.035511,0
1997-04-17,20.810665,21.727419,20.717831,21.638451,14.783404,166353914
1997-04-18,21.638451,21.638451,21.638451,21.638451,14.783404,0
1997-04-21,21.777704,23.154766,21.746759,23.147032,15.814072,187957245
1997-04-22,23.673100,24.601458,22.980700,23.429405,16.006985,335363489
1997-04-23,23.982552,24.059916,23.634418,23.719519,16.205193,176703814
1997-04-24,23.816221,23.885847,23.448748,23.564791,16.099480,129634199
1997-04-25,23.437141,23.680836,23.386856,23.630550,16.144409,111922260
1997-04-28,23.595737,23.796881,23.479692,23.611210,16.131197,80058867
1997-04-29,23.522242,23.649891,23.448748,23.607342,16.128555,72225026
1997-04-30,24.175961,24.350027,23.905190,23.959343,16.369041,156895914
1997-05-01,23.959343,23.959343,23.959343,23.959343,16.369041,0
1997-05-02,23.750463,23.823957,23.576397,23.622814,16.139128,75386742
1997-05-05,23.301758,23.402328,23.077404,23.143164,15.811426,118988293
1997-05-06,23.208921,23.518373,23.135426,23.425537,16.004349,91628341
1997-05-07,23.518373,23.518373,23.224394,23.270811,15.898638,63786246
1997-05-08,23.278547,23.394592,23.162502,23.352043,15.954135,45863612
1997-05-09,23.402328,23.433273,23.247602,23.301758,15.919781,39354047
1997-05-12,23.286283,23.344307,22.597754,22.659643,15.481083,126209439
1997-05-13,22.628698,22.783424,22.559071,22.640303,15.467874,76733637
1997-05-14,22.651907,22.969095,22.292170,22.903337,15.647577,165133694
1997-05-15,22.764084,22.938150,22.686722,22.756348,15.547151,90367403
1997-05-16,22.706060,22.860786,22.675116,22.802765,16.150080,53703916
1997-05-19,23.054195,23.294022,22.872393,22.988438,16.281582,74370107
1997-05-20,22.996174,23.116085,22.914942,22.984568,16.278839,29821721
1997-05-21,22.976831,22.976831,22.555202,22.628698,16.026800,70805745
1997-05-22,22.675116,22.706060,22.241882,22.423685,15.881596,113627855
1997-05-23,22.357927,22.779556,22.172256,22.454632,15.903520,153828559
1997-05-26,22.377268,22.528126,22.241882,22.292170,15.788450,65782676
1997-05-27,22.381136,22.620962,21.831860,22.021399,15.596677,156083511
1997-05-28,22.125837,22.268961,21.804783,21.858936,15.481614,66947315
1997-05-29,21.808649,22.914942,21.731287,22.764084,16.122686,234118157
1997-05-30,22.903337,23.394592,22.764084,23.290154,16.495268,221407312
1997-06-02,23.479692,23.669231,23.251471,23.560923,16.687048,151272430
1997-06-03,23.595737,24.052179,23.286283,23.468088,16.621296,166724246
1997-06-04,23.673100,23.777540,23.406197,23.499033,16.643217,80650881
1997-06-05,23.704044,24.388708,23.618946,24.040573,17.026758,274340835
1997-06-06,24.137278,24.233982,23.789145,23.839430,16.884298,125271006
1997-06-09,23.673100,24.125673,23.557055,23.897453,16.925392,149579115
1997-06-10,24.137278,24.369368,23.967079,24.261059,17.182915,141353615
1997-06-11,24.562775,24.794865,24.450600,24.547302,17.385647,130881564
1997-06-12,24.555038,25.139130,24.524094,25.065636,17.752764,189593038
1997-06-13,25.220362,25.413769,24.794865,24.980536,17.692490,142896340
1997-06-16,24.825809,24.910910,24.233982,24.396444,17.278805,124350024
1997-06-17,24.678820,24.988272,24.613062,24.744577,17.525372,125526942
1997-06-18,25.220362,25.487265,24.937986,25.046293,17.739061,110319429
1997-06-19,24.833546,26.612896,24.721369,26.450434,18.733549,267424745
1997-06-20,26.771490,28.276203,26.728941,27.827497,19.708855,328897226
